metric,run,sharp_article,delta
MR,0.1555146425962448,0.14,0.015514642596244799
b-minFDE6,1.9188703298568726,1.822,0.0968703298568725
minADE1,1.6774958372116089,1.569,0.10849583721160894
minADE6,0.6805890798568726,0.639,0.041589079856872546
minFDE1,4.130601406097412,3.85,0.280601406097412
minFDE6,1.2854619026184082,1.197,0.08846190261840814
