metric,run,sharp_article,delta
MR,0.15595485270023346,0.14,0.015954852700233446
b-minFDE6,1.9245601892471313,1.822,0.10256018924713128
minADE1,1.6768673658370972,1.569,0.10786736583709722
minADE6,0.6792822480201721,0.639,0.04028224802017211
minFDE1,4.138639450073242,3.85,0.2886394500732421
minFDE6,1.2876970767974854,1.197,0.09069707679748529
