epoch,global_step,MR,b-minFDE6,minADE1,minADE6,minFDE1,minFDE6
0,6248,0.636825680732727,6.771074295043945,5.771099090576172,2.9287919998168945,12.753829002380371,6.110076427459717
1,12496,0.5214903354644775,5.12808895111084,3.5554676055908203,2.00697922706604,8.779961585998535,4.502455711364746
2,18744,0.4794301390647888,3.4390032291412354,3.112114191055298,1.4244918823242188,7.566880226135254,2.824345588684082
3,24992,0.44665437936782837,3.09856915473938,2.870321273803711,1.289731740951538,6.995244979858398,2.4872219562530518
4,31240,0.40663519501686096,3.033571720123291,2.907472848892212,1.2160145044326782,7.220296859741211,2.3926351070404053
5,37488,0.370577871799469,2.7308847904205322,2.5014071464538574,1.0828542709350586,6.2466888427734375,2.12038516998291
6,43736,0.33744198083877563,2.7245895862579346,2.739872932434082,1.0994688272476196,6.557899475097656,2.078296184539795
7,49984,0.3480870723724365,2.7549047470092773,2.5546600818634033,1.1037570238113403,6.3768229484558105,2.113314151763916
8,56232,0.30838802456855774,2.5725510120391846,2.3887147903442383,0.9884188175201416,6.0567240715026855,1.9334111213684082
9,62480,0.2860572934150696,2.452768325805664,2.368119239807129,0.9591361880302429,5.9116129875183105,1.8087960481643677
10,68728,0.2799343764781952,2.5486574172973633,2.581233263015747,0.9879586696624756,6.404505252838135,1.8824665546417236
11,74976,0.2820553779602051,2.415609121322632,2.375882625579834,0.9434587359428406,5.890392303466797,1.7741817235946655
12,81224,0.27997440099716187,2.4608922004699707,2.415541887283325,0.9263525605201721,6.2350873947143555,1.800706386566162
13,87472,0.32439571619033813,2.6267077922821045,2.3557591438293457,0.950473427772522,6.244010925292969,1.9734394550323486
14,93720,0.2703297436237335,2.3982841968536377,2.21823787689209,0.9303271174430847,5.402421951293945,1.7749027013778687
15,99968,0.2599247694015503,2.371951103210449,2.18007230758667,0.9748823046684265,5.166662693023682,1.7368812561035156
16,106216,0.24831919372081757,2.3007709980010986,2.1673073768615723,0.8578997850418091,5.281752109527588,1.6808534860610962
