epoch,global_step,epoch_seconds,MR,minADE1,minADE6,minFDE1,minFDE6,b-minFDE6
31,199936,4309.757,0.21602369844913483,1.9226964712142944,0.7983919978141785,4.662374496459961,1.5498112440109253,2.1699869632720947
32,206184,4310.794,0.22935009002685547,1.8230035305023193,0.7959343791007996,4.511425971984863,1.5546433925628662,2.1743767261505127
33,212432,4309.148,0.2205858826637268,1.86750328540802,0.7667728662490845,4.717488765716553,1.5340487957000732,2.1555936336517334
34,218680,4313.255,0.1903313547372818,1.8326910734176636,0.7736825942993164,4.4404449462890625,1.4601681232452393,2.089568853378296
35,224928,4319.924,0.20489835739135742,1.8299390077590942,0.7719045877456665,4.55282735824585,1.480965256690979,2.0930838584899902
36,231176,4312.986,0.24055546522140503,1.8957973718643188,0.7950395345687866,4.6945390701293945,1.5869070291519165,2.182234764099121
37,237424,4309.356,0.22846966981887817,1.856072187423706,0.8291193246841431,4.420727729797363,1.545482873916626,2.136202573776245
38,243672,4304.366,0.2064991146326065,1.8159185647964478,0.7590222954750061,4.475153923034668,1.4742594957351685,2.08512544631958
39,249920,4305.075,0.20697934925556183,2.0369222164154053,0.7930412888526917,4.822675704956055,1.4974478483200073,2.1320714950561523
40,256168,4300.771,0.20689931511878967,1.9266180992126465,0.7882789373397827,4.643808841705322,1.4804713726043701,2.1131105422973633
41,262416,4309.895,0.2181847244501114,2.1316754817962646,0.8041387796401978,5.316153049468994,1.545277714729309,2.2068803310394287
42,268664,4304.298,0.19409316778182983,1.756564974784851,0.736099898815155,4.345587253570557,1.4206000566482544,2.042742967605591
43,274912,4311.216,0.19269248843193054,1.7545576095581055,0.768809974193573,4.240496635437012,1.4302383661270142,2.05470871925354
44,281160,4312.489,0.19197215139865875,1.7907536029815674,0.7542645335197449,4.375831127166748,1.4369425773620605,2.0558712482452393
45,287408,4294.024,0.20521850883960724,1.949851393699646,0.7890692353248596,4.641843318939209,1.4593086242675781,2.083451986312866
46,293656,4312.486,0.18240755796432495,1.8101401329040527,0.7402417063713074,4.380311489105225,1.3935182094573975,2.019395112991333
47,299904,4309.418,0.19057147204875946,1.8342204093933105,0.737710177898407,4.468740463256836,1.4254579544067383,2.0580055713653564
48,306152,4297.382,0.1997358798980713,1.7739334106445312,0.7533235549926758,4.455723762512207,1.4519903659820557,2.0696258544921875
49,312400,4300.628,0.17024171352386475,1.673226237297058,0.7215203046798706,4.129559516906738,1.3484808206558228,1.9730533361434937
50,318648,4293.583,0.18096686899662018,1.7393505573272705,0.7312646508216858,4.187466144561768,1.3873929977416992,2.002729654312134
51,324896,4298.088,0.17036177217960358,1.660942554473877,0.6988725066184998,4.102064609527588,1.3420149087905884,1.970106601715088
52,331144,4292.815,0.18757003545761108,1.7040045261383057,0.7222802639007568,4.309184551239014,1.413427472114563,2.039137840270996
53,337392,4303.79,0.17688490450382233,1.6644214391708374,0.7157354354858398,4.084583282470703,1.370686411857605,1.9873470067977905
54,343640,4299.407,0.17020170390605927,1.654984712600708,0.696688175201416,4.061152458190918,1.327741026878357,1.9366960525512695
55,349888,4301.788,0.16968144476413727,1.727327585220337,0.6987656950950623,4.2059712409973145,1.3162963390350342,1.9515646696090698
56,356136,4298.876,0.17772531509399414,1.7122684717178345,0.7144180536270142,4.1836442947387695,1.3708579540252686,1.9936063289642334
57,362384,4307.856,0.1643989086151123,1.7464028596878052,0.6955227851867676,4.243151664733887,1.325132131576538,1.9552979469299316
58,368632,4299.826,0.16295821964740753,1.642569661140442,0.6895465850830078,4.033102989196777,1.3161237239837646,1.9446040391921997
59,374880,4300.161,0.15959660708904266,1.642974853515625,0.6962316036224365,4.0208940505981445,1.305049180984497,1.9263999462127686
60,381128,4304.532,0.15755562484264374,1.605667233467102,0.6705787777900696,3.9765868186950684,1.2779186964035034,1.8988783359527588
61,387376,4316.794,0.1617976576089859,1.6628068685531616,0.6998648643493652,4.038444519042969,1.3083674907684326,1.9323941469192505
62,393624,4314.71,0.1600368171930313,1.6078490018844604,0.6770012378692627,3.9658868312835693,1.2946327924728394,1.9143818616867065
63,399872,4312.124,0.1563950628042221,1.7118382453918457,0.6781437993049622,4.145800590515137,1.2739930152893066,1.9058501720428467
64,406120,4317.29,0.14887145161628723,1.610710620880127,0.6686054468154907,3.9600117206573486,1.2544221878051758,1.8802945613861084
65,412368,4316.842,0.15827597677707672,1.6303014755249023,0.6687551140785217,4.005374431610107,1.2741594314575195,1.890151858329773
66,418616,4320.359,0.15443412959575653,1.5924047231674194,0.6602283120155334,3.9458134174346924,1.2659775018692017,1.8941607475280762
67,424864,4319.625,0.15279334783554077,1.6165962219238281,0.6625228524208069,3.9743783473968506,1.2644942998886108,1.8817059993743896
68,431112,4320.753,0.15079237520694733,1.6084376573562622,0.6574893593788147,3.9690840244293213,1.2515223026275635,1.8769887685775757
69,437360,4315.836,0.15079237520694733,1.5910096168518066,0.6606680750846863,3.9343817234039307,1.2669175863265991,1.8927472829818726
70,443608,4316.692,0.15139266848564148,1.6045942306518555,0.6564927697181702,3.960688829421997,1.2594668865203857,1.8900617361068726
71,449856,4320.324,0.15095245838165283,1.5840543508529663,0.6519089341163635,3.9119627475738525,1.2507104873657227,1.875997543334961
72,456104,4316.231,0.15087242424488068,1.5877352952957153,0.6545475125312805,3.9194538593292236,1.2526496648788452,1.8795565366744995
73,462352,4322.336,0.15071234107017517,1.6248362064361572,0.659873902797699,3.994859457015991,1.2546336650848389,1.8881969451904297
74,468600,4329.139,0.15055225789546967,1.5994855165481567,0.6521687507629395,3.9528989791870117,1.2521016597747803,1.8802448511123657
75,474848,4320.723,0.14951176941394806,1.5801247358322144,0.6506310701370239,3.9115889072418213,1.2372099161148071,1.863460898399353
76,481096,4322.274,0.1465103179216385,1.5796353816986084,0.6480295658111572,3.9137561321258545,1.2385715246200562,1.863614559173584
77,487344,4321.409,0.14611013233661652,1.5758335590362549,0.6472797989845276,3.902214288711548,1.2383419275283813,1.8594443798065186
78,493592,4320.096,0.14919161796569824,1.5862528085708618,0.6495139002799988,3.924565315246582,1.2433605194091797,1.8685301542282104
79,499840,4321.833,0.1475508213043213,1.5763872861862183,0.6474623084068298,3.902742624282837,1.2387934923171997,1.864358901977539
