epoch,global_step,epoch_seconds,MR,minADE1,minADE6,minFDE1,minFDE6,b-minFDE6
0,6248,4280.026,0.5409796833992004,4.33938455581665,1.4568061828613281,10.955076217651367,3.0954744815826416,3.7480127811431885
1,12496,4248.917,0.4848727285861969,3.5466740131378174,1.4463645219802856,8.105663299560547,2.608119010925293,3.2447423934936523
2,18744,4258.671,0.41864094138145447,2.9466748237609863,1.1980117559432983,7.147085189819336,2.379319190979004,3.027543306350708
3,24992,4261.711,0.4810709059238434,2.963251829147339,1.2595086097717285,7.423348426818848,2.542412519454956,3.1391184329986572
4,31240,4264.016,0.3734992742538452,2.5676608085632324,1.0227195024490356,6.458551406860352,2.0924487113952637,2.726016044616699
5,37488,4270.135,0.34280455112457275,2.741482734680176,1.1915475130081177,6.196621417999268,2.1211025714874268,2.758085012435913
6,43736,4267.379,0.33656156063079834,2.5429635047912598,1.0295919179916382,6.120296478271484,2.031111717224121,2.6679494380950928
7,49984,4275.249,0.31094926595687866,2.5051233768463135,1.0144057273864746,6.032209396362305,1.9187300205230713,2.567408800125122
8,56232,4267.189,0.28125500679016113,2.184237480163574,0.9309637546539307,5.455726146697998,1.8543241024017334,2.491002321243286
9,62480,4274.548,0.3057067394256592,2.9868004322052,1.1328405141830444,6.537778854370117,2.0488154888153076,2.7123119831085205
10,68728,4290.535,0.2973427176475525,2.299691915512085,1.0231883525848389,5.672627925872803,1.8316407203674316,2.45829176902771
11,74976,4289.647,0.32383543252944946,2.360290050506592,1.0082834959030151,5.790478229522705,1.95756995677948,2.5857784748077393
12,81224,4304.671,0.2732911705970764,2.1347384452819824,0.8992189764976501,5.310221195220947,1.7544596195220947,2.3800323009490967
13,87472,4308.835,0.24731871485710144,2.077975273132324,0.8623843193054199,5.2629594802856445,1.7028554677963257,2.3361968994140625
14,93720,4297.228,0.24455738067626953,2.12496280670166,0.8521029353141785,5.231672763824463,1.6697548627853394,2.284675121307373
15,99968,4300.102,0.30682727694511414,2.4512088298797607,0.9451178908348083,5.961855411529541,1.8669761419296265,2.5187861919403076
16,106216,4300.16,0.2781335115432739,2.193122148513794,0.8963911533355713,5.492705345153809,1.803525686264038,2.4296000003814697
17,112464,4299.588,0.27761325240135193,2.1153712272644043,0.9092490673065186,5.080146789550781,1.7393920421600342,2.3510565757751465
18,118712,4302.472,0.2653273642063141,2.0552818775177,0.917629063129425,5.081792831420898,1.716836929321289,2.331833600997925
19,124960,4300.461,0.2383544147014618,2.0894007682800293,0.8724886178970337,4.9161057472229,1.6267563104629517,2.2308349609375
20,131208,4300.392,0.23883463442325592,2.085237741470337,0.850296139717102,4.957155227661133,1.6191904544830322,2.231600284576416
21,137456,4304.589,0.23907475173473358,2.2343761920928955,0.8246314525604248,5.552952766418457,1.6059496402740479,2.2486181259155273
22,143704,4297.541,0.23595325648784637,1.9545072317123413,0.8459143042564392,4.913167476654053,1.6272813081741333,2.231421709060669
23,149952,4302.355,0.2192252278327942,1.9666608572006226,0.8222241401672363,4.923000335693359,1.5489743947982788,2.1808934211730957
24,156200,4303.255,0.21022090315818787,1.9398176670074463,0.8379752039909363,4.565889358520508,1.513240933418274,2.1360347270965576
25,162448,4318.508,0.22394749522209167,1.990916132926941,0.8473814129829407,5.0017290115356445,1.5998557806015015,2.2308061122894287
26,168696,4306.835,0.2082599699497223,1.9457852840423584,0.7795793414115906,4.786739349365234,1.515816330909729,2.156083345413208
27,174944,4309.202,0.2541219890117645,2.2582786083221436,0.8200643062591553,5.54280424118042,1.6559151411056519,2.2948341369628906
28,181192,4310.198,0.21106131374835968,1.899267315864563,0.8301951885223389,4.595963954925537,1.5437003374099731,2.1669046878814697
29,187440,4309.674,0.22818952798843384,1.932072401046753,0.8199020028114319,4.721555709838867,1.5744410753250122,2.194162607192993
30,193688,4309.767,0.22050584852695465,1.8641895055770874,0.8191438317298889,4.54055643081665,1.5317796468734741,2.134387254714966
