uncertainty_target_context | 55677249 bytes | epoch=14 | minADE6=0.7618803977966309 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_14-minADE6_0.7618803977966309.ckpt
uncertainty_target_context | 55677696 bytes | epoch=15 | minADE6=0.7585808038711548 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_15-minADE6_0.7585808038711548.ckpt
uncertainty_target_context | 55678143 bytes | epoch=16 | minADE6=0.7293426394462585 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_16-minADE6_0.7293426394462585.ckpt
uncertainty_target_context | 55678526 bytes | epoch=17 | minADE6=0.7183456420898438 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_17-minADE6_0.7183456420898438.ckpt
uncertainty_target_context | 55678973 bytes | epoch=18 | minADE6=0.7104766964912415 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_18-minADE6_0.7104766964912415.ckpt
uncertainty_target_context | 55679420 bytes | epoch=19 | minADE6=0.7087548971176147 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_19-minADE6_0.7087548971176147.ckpt
uncertainty_target_context | 55672141 bytes | epoch=2 | minADE6=1.1210681200027466 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_2-minADE6_1.1210681200027466.ckpt
uncertainty_target_context | 55672588 bytes | epoch=3 | minADE6=1.08732271194458 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_3-minADE6_1.08732271194458.ckpt
uncertainty_target_context | 55672971 bytes | epoch=4 | minADE6=0.9842717051506042 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_4-minADE6_0.9842717051506042.ckpt
uncertainty_target_context | 55673418 bytes | epoch=5 | minADE6=0.9689114093780518 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_5-minADE6_0.9689114093780518.ckpt
uncertainty_target_context | 55673865 bytes | epoch=6 | minADE6=0.9413363337516785 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_6-minADE6_0.9413363337516785.ckpt
uncertainty_target_context | 55674248 bytes | epoch=7 | minADE6=0.9087192416191101 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_7-minADE6_0.9087192416191101.ckpt
uncertainty_target_context | 55674695 bytes | epoch=8 | minADE6=0.8410755395889282 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_8-minADE6_0.8410755395889282.ckpt
uncertainty_target_context | 55675142 bytes | epoch=9 | minADE6=0.8826136589050293 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/epoch_9-minADE6_0.8826136589050293.ckpt
uncertainty_target_context | 55679420 bytes | epoch=None | minADE6=None | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/02_uncertainty_target_context/checkpoints/last.ckpt
relative_geometry_bias | 55679047 bytes | epoch=0 | minADE6=1.428727149963379 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_0-minADE6_1.428727149963379.ckpt
relative_geometry_bias | 55679622 bytes | epoch=1 | minADE6=1.7308392524719238 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_1-minADE6_1.7308392524719238.ckpt
