epoch,global_step,MR,b-minFDE6,minADE1,minADE6,minFDE1,minFDE6
0,6248,0.6501520872116089,6.7663421630859375,5.5701904296875,2.9497134685516357,12.530037879943848,6.131216526031494
1,12496,0.5349767804145813,5.109674453735352,3.9964993000030518,2.0516104698181152,9.572277069091797,4.46612024307251
2,18744,0.4665839672088623,3.474092483520508,3.2082409858703613,1.408237338066101,8.056559562683105,2.821460485458374
3,24992,0.40315350890159607,3.0087623596191406,3.0644874572753906,1.256327748298645,7.604671478271484,2.379164695739746
4,31240,0.3559708595275879,2.827650308609009,2.9002554416656494,1.2127684354782104,6.973628520965576,2.183809280395508
5,37488,0.36245396733283997,2.8811635971069336,2.6069722175598145,1.1748663187026978,6.616966724395752,2.2414071559906006
6,43736,0.3512886166572571,2.686309814453125,2.6057446002960205,1.0619531869888306,6.4575958251953125,2.0531864166259766
7,49984,0.30278533697128296,2.690481424331665,2.6660258769989014,1.0551133155822754,6.517960071563721,2.033050060272217
8,56232,0.29129981994628906,2.494295120239258,2.346471071243286,0.9539060592651367,5.952500820159912,1.8472044467926025
9,62480,0.3293180763721466,2.715249538421631,2.617447853088379,1.022733449935913,6.607751846313477,2.0550599098205566
10,68728,0.2728109359741211,2.4765124320983887,2.3614490032196045,0.9413216710090637,5.945497035980225,1.8267440795898438
11,74976,0.2627260982990265,2.380617380142212,2.415137767791748,0.9175821542739868,5.822859287261963,1.7422709465026855
12,81224,0.2736913859844208,2.3749594688415527,2.229994058609009,0.8958020210266113,5.760328769683838,1.7432448863983154
13,87472,0.2781335115432739,2.3849425315856934,2.2632906436920166,0.8855650424957275,5.7355475425720215,1.7514419555664062
14,93720,0.28157514333724976,2.4168694019317627,2.4203274250030518,0.8970881104469299,6.350081920623779,1.753774881362915
15,99968,0.2572835087776184,2.2753663063049316,2.0851309299468994,0.857831597328186,5.116581439971924,1.6517159938812256
16,106216,0.2540019154548645,2.285487174987793,2.229616403579712,0.8853353261947632,5.431032657623291,1.655505895614624
17,112464,0.25216102600097656,2.2667343616485596,2.037954568862915,0.8457315564155579,4.985137939453125,1.6484366655349731
18,118712,0.23951496183872223,2.231679677963257,2.255014657974243,1.0112088918685913,5.013350009918213,1.6015503406524658
19,124960,0.21826477348804474,2.182756185531616,2.038344144821167,0.8240422010421753,5.048305511474609,1.5518001317977905
20,131208,0.20549863576889038,2.1365458965301514,2.010895252227783,0.8141560554504395,4.9136786460876465,1.503145456314087
21,137456,0.21890507638454437,2.150926113128662,1.96007239818573,0.8007839322090149,4.8380045890808105,1.5313498973846436
22,143704,0.20045621693134308,2.1318960189819336,1.9573498964309692,0.8024384379386902,4.790633678436279,1.5014828443527222
23,149952,0.206659197807312,2.179448127746582,2.307138681411743,0.8643494844436646,5.390136241912842,1.5213243961334229
24,156200,0.24923963844776154,2.318774461746216,2.2738664150238037,0.8528034687042236,5.5450053215026855,1.6643251180648804
25,162448,0.20661917328834534,2.176306962966919,2.2627410888671875,0.8564001321792603,5.195208549499512,1.5276820659637451
26,168696,0.22046582400798798,2.1819777488708496,2.0612175464630127,0.8038670420646667,5.053399562835693,1.537549614906311
27,174944,0.202497199177742,2.1207118034362793,2.0993411540985107,0.8198612928390503,4.977788925170898,1.4786169528961182
28,181192,0.19565391540527344,2.0825068950653076,2.1120338439941406,0.8486578464508057,4.776152610778809,1.4498604536056519
29,187440,0.19905555248260498,2.072699785232544,1.9369065761566162,0.7956230044364929,4.664632320404053,1.4437283277511597
30,193688,0.19457340240478516,2.0628960132598877,1.8677712678909302,0.7610781788825989,4.587894439697266,1.4381377696990967
31,199936,0.2019769549369812,2.1143031120300293,1.9935686588287354,0.7978233695030212,4.776045799255371,1.4742618799209595
32,206184,0.1990155279636383,2.1051275730133057,1.8658065795898438,0.7961236238479614,4.592229843139648,1.4691789150238037
33,212432,0.17700496315956116,2.0205190181732178,1.931092381477356,0.7909327149391174,4.524620056152344,1.3907948732376099
34,218680,0.1818072646856308,2.036738157272339,1.8739194869995117,0.7543526887893677,4.539863586425781,1.4012876749038696
35,224928,0.18568913638591766,2.066319704055786,1.8370808362960815,0.751763641834259,4.563262462615967,1.4261658191680908
36,231176,0.2145029604434967,2.213848352432251,2.13405704498291,0.8096676468849182,5.201190948486328,1.5567519664764404
37,237424,0.1778053492307663,2.0101444721221924,1.8562977313995361,0.7419494986534119,4.4931135177612305,1.3815491199493408
38,243672,0.17912597954273224,2.0297093391418457,1.7572375535964966,0.7332460880279541,4.339025974273682,1.3981282711029053
39,249920,0.18364815413951874,2.031440019607544,1.8630722761154175,0.7446017861366272,4.488095760345459,1.3991990089416504
40,256168,0.1814470887184143,2.0307600498199463,1.8554762601852417,0.7286132574081421,4.5917067527771,1.3980895280838013
