run,MR,b-minFDE6,minADE1,minADE6,minFDE1,minFDE6
SHARP article,0.14,1.822,1.569,0.639,3.85,1.197
Official SHARP baseline,0.15595485270023346,1.9245601892471313,1.6768673658370972,0.6792822480201721,4.138639450073242,1.2876970767974854
SHARP + QKNorm + uncertainty context + geometry bias,0.1555146425962448,1.9188703298568726,1.6774958372116089,0.6805890798568726,4.130601406097412,1.2854619026184082
